SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchDate,ExitDate,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority
7530,10,1973,Normal,Duplo,,Pre-School Set,,,17.0,,{Not specified},{Not specified},,,,,,,16,22,X,0,,,,,0,0,0,0,0
7531,20,1973,Normal,Duplo,,Building Set,,,25.0,,{Not specified},{Not specified},,,,,,,17,24,X,0,,,,,0,0,0,0,0
1119,28,1979,Normal,Duplo,,Nursery Furniture,028-1,,7.0,2.0,{Not specified},{Not specified},,,,,,,50,31,X,0,,11.72,,,0,0,0,0,0
7532,30,1973,Normal,Duplo,,Building Set,,,29.0,,{Not specified},{Not specified},,,,,,,17,23,X,0,,,,,0,0,0,0,0
1382,32,1979,Normal,Duplo,,Living Room Furniture,032-1,,14.0,3.0,{Not specified},{Not specified},,,,,,,69,27,X,0,,10.52,,,0,0,0,0,0
7143,33,1979,Normal,Duplo,,Farm Animals,033-1,,21.0,1.0,{Not specified},{Not specified},,,,,,,126,36,X,3,,,,,0,0,0,0,0
1946,41,1979,Normal,Duplo,,Play-Box,,,4.0,,{Not specified},{Not specified},,,,,,,25,22,X,0,115.79,,,,0,0,0,0,0
2159,45,1979,Normal,Duplo,,Farm,045-1,,65.0,5.0,{Not specified},{Not specified},,,,,,,76,32,X,0,,,,,0,0,0,0,0
3789,71,1979,Normal,Duplo,,Block Box,,,24.0,,{Not specified},{Not specified},,,,,,,19,21,X,0,,,,,0,0,0,0,0
30975,77,1975,Normal,Duplo,,Pre-School Set,077-1,,21.0,,{Not specified},{Not specified},,,,,,,14,7,X,0,,,,,0,0,0,0,0
9360,508,1973,Normal,Duplo,,Kindergarten Set,,,,,Box,Retail,,,,,,,10,20,X,0,,,,,0,0,0,0,0
8392,510,1969,Normal,Duplo,Basic Set,Building Set,510-3,,17.0,,{Not specified},{Not specified},,,,,,,22,34,X,0,39.0,,,,0,0,0,0,0
8393,511,1969,Normal,Duplo,Basic Set,Building Set,,,27.0,,{Not specified},{Not specified},,,,,,,17,29,X,0,,,,,0,0,0,0,0
7411,512,1970,Normal,Duplo,Basic Set,Building Set ,512-1,,20.0,,Box,Retail,,,,,,,23,25,X,0,,,,,0,0,0,0,0
7412,513,1970,Normal,Duplo,Basic Set,Building Set ,513-1,,29.0,,Box,Retail,,,,,,,25,25,X,0,79.0,,,,0,0,0,0,0
7403,514,1972,Normal,Duplo,,Pre-School Building Set,514-1,,17.0,,{Not specified},{Not specified},,,,,,,27,30,X,0,,,,,0,0,0,0,0
7944,515,1973,Normal,Duplo,,Building set,515-2,,31.0,,{Not specified},{Not specified},,,,,,,28,27,X,0,,,,,0,0,0,0,0
7443,516,1975,Normal,Duplo,,Bricks and half bricks,516-1,,20.0,,Box,Promotional,,,,,,,21,24,X,0,,,,,0,0,0,0,0
7444,517,1975,Normal,Duplo,,Bricks and half bricks and arches,517-1,,121.0,,Box,Retail,,,,,,,34,25,X,0,59.99,15.0,,,0,0,0,0,0
7445,518,1975,Normal,Duplo,,Bricks and half bricks and trolley,518-8,,17.0,,Box,Retail,,,,,,,28,24,X,0,,,,,0,0,0,0,0
7446,519,1975,Normal,Duplo,,Bricks and half bricks and arches and trolley,519-8,,240.0,,Box,Retail,,,,,,,26,27,X,0,,,,,0,0,0,0,0
7447,520,1975,Normal,Duplo,,Bricks and half bricks and two tolleys,520-9,,168.0,,Box,Retail,,,,,,,26,27,X,0,,,,,0,0,0,0,0
7449,521,1975,Normal,Duplo,,Bricks and half bricks all colours,521-8,,640.0,,Box,Retail,,,,,,,32,27,X,0,,,,,0,0,0,0,0
