SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,YearsSinceExit,PriceChange,ResaleDemand,AppreciationTrend,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,AnnualPriceIncrease,AnnualPercentageIncrease
7530,10,1973,Normal,Duplo,Unknown,Pre-School Set,Unknown,0.0,17.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,16,22,0,0.0,0.0,1973,1,1974,12,51,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7531,20,1973,Normal,Duplo,Unknown,Building Set,Unknown,0.0,25.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,17,24,0,0.0,0.0,1973,1,1974,12,51,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
1119,28,1979,Normal,Duplo,Unknown,Nursery Furniture,028-1,0.0,7.0,2.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,50,31,0,0.0,11.72,1979,1,1980,12,45,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7532,30,1973,Normal,Duplo,Unknown,Building Set,Unknown,0.0,29.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,17,23,0,0.0,0.0,1973,1,1974,12,51,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
1382,32,1979,Normal,Duplo,Unknown,Living Room Furniture,032-1,0.0,14.0,3.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,69,27,0,0.0,10.52,1979,1,1980,12,45,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7143,33,1979,Normal,Duplo,Unknown,Farm Animals,033-1,0.0,21.0,1.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,126,36,3,0.0,0.0,1979,1,1980,12,45,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
1946,41,1979,Normal,Duplo,Unknown,Play-Box,Unknown,0.0,4.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,25,22,0,115.79,0.0,1979,1,1980,12,45,,0.0,,Small,Regular,0.0,,2.5731111111111113,0.0
2159,45,1979,Normal,Duplo,Unknown,Farm,045-1,0.0,65.0,5.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,76,32,0,0.0,0.0,1979,1,1980,12,45,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
3789,71,1979,Normal,Duplo,Unknown,Block Box,Unknown,0.0,24.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,19,21,0,0.0,0.0,1979,1,1980,12,45,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
30975,77,1975,Normal,Duplo,Unknown,Pre-School Set,077-1,0.0,21.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,14,7,0,0.0,0.0,1975,1,1976,12,49,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
9360,508,1973,Normal,Duplo,Unknown,Kindergarten Set,Unknown,0.0,0.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,10,20,0,0.0,0.0,1973,1,1974,12,51,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
8392,510,1969,Normal,Duplo,Basic Set,Building Set,510-3,0.0,17.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,22,34,0,39.0,0.0,1969,1,1970,12,55,,0.0,,Small,Regular,0.0,,0.7090909090909091,0.0
8393,511,1969,Normal,Duplo,Basic Set,Building Set,Unknown,0.0,27.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,17,29,0,0.0,0.0,1969,1,1970,12,55,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7411,512,1970,Normal,Duplo,Basic Set,Building Set ,512-1,0.0,20.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,23,25,0,0.0,0.0,1970,1,1971,12,54,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7412,513,1970,Normal,Duplo,Basic Set,Building Set ,513-1,0.0,29.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,25,25,0,79.0,0.0,1970,1,1971,12,54,,0.0,,Small,Regular,0.0,,1.462962962962963,0.0
7403,514,1972,Normal,Duplo,Unknown,Pre-School Building Set,514-1,0.0,17.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,27,30,0,0.0,0.0,1972,1,1973,12,52,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7944,515,1973,Normal,Duplo,Unknown,Building set,515-2,0.0,31.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,28,27,0,0.0,0.0,1973,1,1974,12,51,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7443,516,1975,Normal,Duplo,Unknown,Bricks and half bricks,516-1,0.0,20.0,0.0,Box,Promotional,0.0,0.0,0.0,0.0,0.0,0.0,21,24,0,0.0,0.0,1975,1,1976,12,49,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7444,517,1975,Normal,Duplo,Unknown,Bricks and half bricks and arches,517-1,0.0,121.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,34,25,0,59.99,15.0,1975,1,1976,12,49,,3.9993333333333334,,Small,Regular,0.0,,1.2242857142857144,0.0
7445,518,1975,Normal,Duplo,Unknown,Bricks and half bricks and trolley,518-8,0.0,17.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,28,24,0,0.0,0.0,1975,1,1976,12,49,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7446,519,1975,Normal,Duplo,Unknown,Bricks and half bricks and arches and trolley,519-8,0.0,240.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,26,27,0,0.0,0.0,1975,1,1976,12,49,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7447,520,1975,Normal,Duplo,Unknown,Bricks and half bricks and two tolleys,520-9,0.0,168.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,26,27,0,0.0,0.0,1975,1,1976,12,49,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7449,521,1975,Normal,Duplo,Unknown,Bricks and half bricks all colours,521-8,0.0,640.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,32,27,0,0.0,0.0,1975,1,1976,12,49,0.0,0.0,0.0,Medium,Regular,0.0,0.0,0.0,0.0
2610,522,1977,Normal,Duplo,Unknown,Police Station,522-1,0.0,23.0,4.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,82,33,0,43.33,14.61,1977,1,1978,12,47,,2.9657768651608487,,Small,Regular,0.0,,0.9219148936170213,0.0
2620,523,1977,Normal,Duplo,Unknown,Train and Station,523-1,0.0,46.0,5.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,57,36,0,225.99,29.57,1977,1,1978,12,47,,7.642543118025025,,Small,Regular,0.0,,4.808297872340426,0.0
2632,524,1977,Normal,Duplo,Unknown,DUPLO Town,524-1,0.0,54.0,7.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,54,31,0,0.0,82.19,1977,1,1978,12,47,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
6170,528,1978,Normal,Duplo,Unknown,Building Set,528-1,0.0,20.0,0.0,Box,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,32,25,0,21.51,0.0,1978,1,1979,12,46,,0.0,,Small,Regular,0.0,,0.46760869565217394,0.0
7516,529,1978,Normal,Duplo,Unknown,Animals,Unknown,0.0,39.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,20,23,0,0.0,10.36,1978,1,1979,12,46,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7485,530,1976,Normal,Duplo,Unknown,Puppy,530-2,0.0,9.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,44,31,0,0.0,0.0,1976,1,1977,12,48,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7486,531,1976,Normal,Duplo,Unknown,Elephants,531-1,0.0,20.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,35,30,0,0.0,0.0,1976,1,1977,12,48,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
2711,532,1976,Normal,Duplo,Unknown,Pull-Along Ducks,532-1,0.0,19.0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,42,42,0,0.0,23.16,1976,1,1977,12,48,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7504,533,1977,Normal,Duplo,Unknown,Racer,533-2,1.1,4.0,1.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,78,30,0,0.0,1.0,1977,1,1978,12,47,-100.0,0.0,-2.127659574468085,Small,Regular,0.0,-40.638297872340424,-0.02340425531914894,-2.127659574468085
2718,534,1978,Normal,Duplo,Unknown,Bath-Toy Boat,534-1,0.0,3.0,1.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,183,42,0,77.56,6.53,1978,1,1979,12,46,,11.877488514548238,,Small,Regular,0.0,,1.6860869565217391,0.0
2721,535,1977,Normal,Duplo,Unknown,Taxi,535-2,0.0,4.0,1.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,93,31,0,0.0,5.27,1977,1,1978,12,47,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7505,536,1977,Normal,Duplo,Unknown,Camping,536-1,0.0,10.0,2.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,70,26,0,0.0,0.0,1977,1,1978,12,47,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
7506,537,1977,Normal,Duplo,Unknown,Mary's House,537-2,0.0,16.0,3.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,64,30,0,0.0,44.61,1977,1,1978,12,47,0.0,0.0,0.0,Small,Regular,0.0,0.0,0.0,0.0
4301,850,1977,Normal,Technic,Unknown,Fork-Lift Truck,850-1,0.0,210.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,2483,345,25,467.26,21.84,1977,1,1978,12,47,,21.394688644688646,,Small,Regular,0.0,,9.941702127659575,0.0
4312,851,1977,Normal,Technic,Unknown,Tractor,851-1,0.0,318.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,1726,543,57,42.82,92.05,1977,1,1978,12,47,,0.46518196632265074,,Medium,Regular,0.0,,0.9110638297872341,0.0
4323,852,1977,Normal,Technic,Unknown,Helicopter,852-1,0.0,364.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,771,376,33,468.26,84.29,1977,1,1978,12,47,,5.555344643492703,,Medium,Regular,0.0,,9.962978723404255,0.0
4329,853,1977,Normal,Technic,Unknown,Car Chassis,853-1,0.0,601.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,1462,647,51,140.46,212.72,1977,1,1978,12,47,,0.6603046257991727,,Medium,Regular,0.0,,2.9885106382978726,0.0
4340,854,1978,Normal,Technic,Unknown,Go-Kart,854-1,0.0,206.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,2723,386,46,143.6,23.35,1978,1,1979,12,46,,6.149892933618843,,Small,Regular,0.0,,3.1217391304347823,0.0
4350,855,1978,Normal,Technic,Unknown,Mobile Crane,855-1,0.0,512.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,1099,392,18,527.11,75.66,1978,1,1979,12,46,,6.966825270948982,,Medium,Regular,0.0,,11.458913043478262,0.0
4361,856,1979,Normal,Technic,Unknown,Bulldozer,856-1,0.0,372.0,0.0,Box,Retail,0.0,0.0,0.0,0.0,0.0,0.0,1529,457,27,775.0,60.2,1979,1,1980,12,45,,12.873754152823919,,Medium,Regular,0.0,,17.22222222222222,0.0
