Number,SetName,Theme,Year,Pieces,Minifigs,RetailPriceUSD,CurrentValueNew,ForecastValueNew2Y,ForecastValueNew5Y,RollingGrowthLastYear,RollingGrowth12M,PriceType,PriceDate,PriceValue,Currency,URL,CurrentValueUsed
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2025-02-03,27.9,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2025-01-15,27.59,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2025-01-01,25.43,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-12-14,27.01,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-12-01,24.83,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-11-15,24.96,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-11-01,24.99,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-09-26,25.0,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-09-14,24.99,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-08-30,25.0,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-08-14,29.17,USD,https://www.brickeconomy.com/api/v1/set/60396,
60396-1,Modified Race Cars,City,2023,359,2,29.99,27.9,30.1,33.36,N/A,N/A,New,2024-06-17,29.99,USD,https://www.brickeconomy.com/api/v1/set/60396,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2025-02-15,27.99,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2025-02-03,30.22,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2025-01-01,39.19,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-12-14,38.94,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-12-01,28.49,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-11-15,27.02,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-11-01,26.55,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-09-14,25.99,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-08-30,26.1,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-08-14,25.21,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-08-01,25.48,USD,https://www.brickeconomy.com/api/v1/set/60397,
60397-1,Monster Truck Race,City,2023,301,2,29.99,27.99,30.2,33.47,N/A,N/A,New,2024-07-14,26.97,USD,https://www.brickeconomy.com/api/v1/set/60397,
60399-1,Green Race Car,City,2024,56,2,9.99,13.98,15.92,18.78,N/A,N/A,New,2025-02-15,13.98,USD,https://www.brickeconomy.com/api/v1/set/60399,
60399-1,Green Race Car,City,2024,56,2,9.99,13.98,15.92,18.78,N/A,N/A,New,2025-02-03,12.0,USD,https://www.brickeconomy.com/api/v1/set/60399,
60399-1,Green Race Car,City,2024,56,2,9.99,13.98,15.92,18.78,N/A,N/A,New,2025-01-15,10.99,USD,https://www.brickeconomy.com/api/v1/set/60399,
60399-1,Green Race Car,City,2024,56,2,9.99,13.98,15.92,18.78,N/A,N/A,New,2025-01-01,10.23,USD,https://www.brickeconomy.com/api/v1/set/60399,
60399-1,Green Race Car,City,2024,56,2,9.99,13.98,15.92,18.78,N/A,N/A,New,2024-12-14,10.15,USD,https://www.brickeconomy.com/api/v1/set/60399,
60399-1,Green Race Car,City,2024,56,2,9.99,13.98,15.92,18.78,N/A,N/A,New,2024-02-08,9.99,USD,https://www.brickeconomy.com/api/v1/set/60399,
