Number,SetName,Theme,Year,Pieces,Minifigs,RetailPriceUSD,CurrentValueNew,ForecastValueNew2Y,ForecastValueNew5Y,RollingGrowthLastYear,RollingGrowth12M,PriceType,PriceDate,PriceValue,Currency,URL
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2025-02-15,28.4,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2025-02-03,28.0,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2025-01-15,27.6,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2025-01-01,27.96,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2024-12-14,27.8,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2024-03-23,19.99,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2024-03-09,21.99,USD,https://www.brickeconomy.com/api/v1/set/71817
71817-1,Lloyd's Elemental Power Mech,Ninjago,2024,253,3,19.99,28.4,32.32,38.11,N/A,N/A,New,2024-01-07,19.99,USD,https://www.brickeconomy.com/api/v1/set/71817
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2025-02-15,173.31,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2025-02-03,168.72,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2025-01-15,159.96,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2025-01-01,159.97,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2024-12-15,134.07,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2024-12-02,135.0,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2024-11-16,129.82,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2024-11-02,131.07,USD,https://www.brickeconomy.com/api/v1/set/75257
75257-1,Millennium Falcon,Star Wars,2019,1351,7,169.99,173.31,204.13,249.64,N/A,N/A,New,2024-10-14,129.99,USD,https://www.brickeconomy.com/api/v1/set/75257
