SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,YearsSinceExit,PriceChange,ResaleDemand,AppreciationTrend,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,AnnualPriceIncrease,AnnualPercentageIncrease,PricePerPiece,PricePerMinifig,YearsOnMarket,InteractionFeature,PredictedInvestmentScore
50641,60450,2025,Normal,City,Construction,Wheel Loader,60450-1,14.99,81.0,2.0,Box,Retail,19.1,14.1,6.1,0.0,4.0,0.0,194,534,0,15.7,3.0,2025,1,2026,12,0,4.736490993995991,5.233333333333333,0.0,0,0,0.0,1.8945963975983968,0.0,0.0,0.18506172839506174,7.495,1,0.18506172839506174,57.2303225000545
48461,76429,2024,Normal,Harry Potter,Miscellaneous,Talking Sorting Hat,76429-1,99.99,561.0,1.0,Box,Retail,26.2,38.2,7.1,0.0,18.0,0.0,2314,1345,0,73.35,32.92,2024,1,2026,12,0,-26.64266426642665,2.2281287970838393,0.0,1,1,0.0,-0.6570657065706591,0.0,0.0,0.17823529411764705,99.99,2,0.3564705882352941,17.09509858167779
48472,76964,2024,Normal,Jurassic World,Dinosaur Fossils,Dinosaur Fossils: T. rex Skull,76964-1,39.99,577.0,0.0,Box,Retail,26.2,28.2,5.9,0.0,9.0,0.0,2794,1390,0,31.28,12.82,2024,1,2025,12,0,-21.78044511127782,2.4399375975039,0.0,1,0,0.0,-8.712178044511129,0.0,0.0,0.06930675909878684,0.0,1,0.06930675909878684,12.469819249291248
48994,31154,2024,Normal,Creator,3 in 1,Forest Animals: Red Fox,31154-1,49.99,667.0,0.0,Box,Retail,38.2,26.2,5.7,0.821,9.0,0.0,1763,1629,5,73.55,35.0,2024,1,2025,12,0,47.12942588517702,2.101428571428571,0.0,1,0,0.0,18.85177035407081,0.0,0.0,0.07494752623688156,0.0,1,0.07494752623688156,11.829474451382833
48545,42181,2024,Normal,Technic,Space,VTOL Heavy Cargo Spaceship LT81,42181-1,109.99,1365.0,0.0,Box,Retail,45.6,28.2,13.6,0.0,10.0,0.0,918,913,12,81.08,38.38,2024,1,2026,12,0,-26.28420765524138,2.112558624283481,0.0,2,0,0.0,-10.513683062096554,0.0,0.0,0.08057875457875457,0.0,2,0.16115750915750915,11.774730234068663
48404,31149,2024,Normal,Creator,3 in 1,Flowers in Watering Can,31149-1,29.99,420.0,0.0,Box,Retail,28.2,26.2,5.9,0.567,8.0,0.0,2092,686,0,22.01,9.76,2024,1,2026,12,0,-26.608869623207728,2.2551229508196724,0.0,1,0,0.0,-10.643547849283092,0.0,0.0,0.0714047619047619,0.0,2,0.1428095238095238,11.355848278885649
24050,10696,2015,Normal,Classic,Creative Box,Medium Creative Brick Box,10696-1,34.99,484.0,0.0,Tub,Retail,36.957,17.907,18.0086,1.038726,4.0,99.0,6813,415,0,20.41,8.83,2015,1,2027,12,0,-41.66904829951415,2.3114382785956966,0.0,1,0,0.0,-16.667619319805663,0.0,0.0,0.07229338842975207,0.0,12,0.8675206611570248,11.213461285272711
48376,60411,2024,Normal,City,Fire,Fire Rescue Helicopter,60411-1,9.99,85.0,1.0,Box,Retail,15.7,14.1,6.1,0.143,5.0,0.0,720,265,0,13.03,3.0,2024,1,2026,12,0,30.430430430430423,4.343333333333333,0.0,0,0,0.0,12.17217217217217,0.0,0.0,0.11752941176470588,9.99,2,0.23505882352941176,10.092003934183051
30350,10931,2020,Normal,Duplo,Unknown,Truck & Tracked Excavator,10931-1,19.99,20.0,2.0,Box,Retail,28.2,26.2,9.6,0.58,2.0,0.0,951,63,0,25.44,10.94,2020,1,2025,12,0,27.263631815907967,2.325411334552103,0.0,0,0,0.0,10.905452726363189,0.0,0.0,0.9994999999999999,9.995,5,4.9975,9.92897292769443
48752,31157,2024,Normal,Creator,3 in 1,Exotic Peacock,31157-1,19.99,355.0,0.0,Box,Retail,26.2,19.1,6.1,0.435,7.0,0.0,1899,959,0,21.79,8.5,2024,1,2026,7,0,9.004502251125567,2.563529411764706,0.0,1,0,0.0,3.601800900450227,0.0,0.0,0.05630985915492957,0.0,2,0.11261971830985915,2.312652905100645
48486,76292,2024,Normal,Marvel Super Heroes,Captain America: Brave New World,Captain America vs. Red Hulk Battle,76292-1,54.99,223.0,4.0,Box,Retail,0.0,0.0,0.0,0.0,8.0,0.0,617,920,0,42.07,0.0,2024,1,2026,12,0,-23.495180941989453,0.0,0.0,0,1,0.0,0.6019276232042188,0.0,0.0,0.24659192825112108,13.7475,2,0.49318385650224217,2.2196829963403646
50684,11198,2025,Normal,Marvel Super Heroes,Spidey and His Amazing Friends,Spin and Electro Dinosaur Vehicle Chase,11198-1,19.99,124.0,0.0,Box,Retail,26.2,14.1,6.1,0.0,4.0,0.0,54,286,0,0.0,0.0,2025,1,2026,12,0,-100.0,0.0,0.0,0,1,0.0,-30.0,0.0,0.0,0.16120967741935482,0.0,1,0.16120967741935482,1.7248652493949237
