Number,YearFrom,Theme,SetName,USRetailPrice,WantCount,BrickLinkSoldPriceUsed
10243,2014,Icons,Parisian Restaurant,159.99,9213,222.26
10246,2015,Icons,Detective's Office,159.99,9395,292.89
10255,2017,Icons,Assembly Square,299.99,7330,205.94
10270,2020,Icons,Bookshop,199.99,5865,155.01
10274,2020,Icons,Ghostbusters ECTO-1,239.99,3758,141.07
10278,2021,Icons,Police Station,199.99,4851,189.65
10292,2021,Icons,The Friends Apartments,179.99,2739,224.55
10297,2022,Icons,Boutique Hotel,229.99,4830,149.43
10309,2022,Icons,Succulents,49.99,2476,24.51
10312,2023,Icons,Jazz Club,229.99,4636,177.91
10326,2024,Icons,Natural History Museum,299.99,5258,241.23
21303,2015,Ideas,WALL-E,59.99,6097,169.47
21306,2016,Ideas,The Beatles Yellow Submarine,59.99,3158,145.91
21319,2019,Ideas,Central Perk,59.99,2122,54.07
21330,2021,Ideas,Home Alone,299.99,4222,226.31
40220,2016,Creator,London Bus,9.99,1237,5.83
40686,2024,Star Wars,Trade Federation Troop Carrier,0.0,1329,27.62
41585,2017,BrickHeadz,Batman,9.99,1313,14.51
41588,2017,BrickHeadz,The Joker,9.99,1210,13.88
41589,2017,BrickHeadz,Captain America,9.99,1473,15.97
41590,2017,BrickHeadz,Iron Man,9.99,1511,18.96
43217,2023,Disney,'Up' House,59.99,1903,30.18
71748,2021,Ninjago,Catamaran Sea Battle,69.99,940,42.69
71765,2022,Ninjago,Ninja Ultra Combo Mech,89.99,845,80.93
71769,2022,Ninjago,Cole's Dragon Cruiser,44.99,562,22.92
71776,2022,Ninjago,Jay and Nya's Race Car EVO,49.99,517,24.48
71780,2023,Ninjago,Kai's Ninja Race Car EVO,9.99,265,6.8
71783,2023,Ninjago,Kai's Mech Rider EVO,44.99,376,28.02
71791,2023,Ninjago,Zane's Dragon Power Spinjitzu Race Car,34.99,388,21.97
71792,2023,Ninjago,Sora's Transforming Mech Bike Racer,47.99,620,27.58
71797,2023,Ninjago,Destiny's Bounty - Race Against Time,159.99,653,78.0
71818,2024,Ninjago,Tournament Battle Arena,49.99,649,0.0
75101,2015,Star Wars,First Order Special Forces TIE Fighter,69.99,4296,44.28
75102,2015,Star Wars,Poe's X-wing Fighter,79.99,4751,58.64
75104,2015,Star Wars,Kylo Ren's Command Shuttle,119.99,3684,65.88
75105,2015,Star Wars,Millennium Falcon,149.99,4294,82.88
75276,2020,Star Wars,Stormtrooper Helmet,59.99,3018,86.8
75277,2020,Star Wars,Boba Fett Helmet,59.99,2978,49.83
75304,2021,Star Wars,Darth Vader Helmet,79.99,2359,35.24
75327,2022,Star Wars,Luke Skywalker (Red Five) Helmet,69.99,2036,46.91
75330,2022,Star Wars,Dagobah Jedi Training Diorama,89.99,3220,59.88
75333,2022,Star Wars,Obi-Wan Kenobi's Jedi Starfighter,29.99,2199,15.14
75344,2023,Star Wars,Boba Fett's Starship Microfighter,9.99,1098,5.19
75346,2023,Star Wars,Pirate Snub Fighter,34.99,1510,15.88
75348,2023,Star Wars,Mandalorian Fang Fighter vs TIE Interceptor,99.99,2583,57.81
75351,2023,Star Wars,Princess Leia (Boushh) Helmet,69.99,1815,41.35
75357,2023,Star Wars,Ghost & Phantom II,159.99,3509,102.16
75368,2023,Star Wars,Darth Vader Mech,15.99,710,8.5
75369,2023,Star Wars,Boba Fett Mech,15.99,880,7.0
75390,2024,Star Wars,Luke Skywalker X-wing Mech ,15.99,793,8.2
75391,2024,Star Wars,Captain Rex Y-wing Microfighter,12.99,1699,8.73
75393,2024,Star Wars,TIE Fighter & X-wing Mash-up,109.99,1858,0.0
