_id,SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,PriceChange,ResaleDemand,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,YearsSinceExit,AppreciationTrend,AnnualPriceIncrease,AnnualPercentageIncrease
67cdbf4341e4c15d56707700,31025,10280,2021,Normal,Icons,Botanical Collection,Flower Bouquet,10280-1,59.99,756.0,0.0,Box,Retail,26.2,38.2,7.1,0.76,18.0,0.0,19281,2427,12,37.95,29.94,2021,1,2026,12,-36.73945657609601,1.2675350701402806,Medium,Exclusive,0.0,-4.695782630438405,0,0.0,,
67cdbf4341e4c15d56707701,30970,10281,2021,Normal,Icons,Botanical Collection,Bonsai Tree,10281-1,49.99,878.0,0.0,Box,Retail,26.2,38.2,7.1,0.76,18.0,0.0,25515,3328,25,35.65,28.02,2021,1,2026,12,-28.685737147429492,1.2723054960742326,Medium,Exclusive,0.0,-1.4742948589717972,0,0.0,,
67cdbf4341e4c15d5670770b,31845,10294,2021,Normal,Icons,Miscellaneous,Titanic,10294-1,679.99,9090.0,0.0,Box,LEGO exclusive,58.5,47.5,38.5,0.0,18.0,0.0,6010,4777,16,518.08,494.55,2021,8,2026,12,-23.810644274180497,1.0475786068142756,Large,Exclusive,0.0,0.47574229032780124,0,0.0,,
67cdbf4341e4c15d5670770c,31389,10295,2021,Normal,Icons,Vehicles,Porsche 911,10295-1,169.99,1458.0,0.0,Box,LEGO exclusive,48.0,28.2,11.8,0.0,18.0,0.0,11047,3289,5,128.79,99.92,2021,1,2026,12,-24.236719807047482,1.2889311449159326,Large,Exclusive,0.0,0.30531207718100717,0,0.0,,
67cdbf4341e4c15d5670770d,32116,10297,2022,Normal,Icons,Modular Buildings Collection,Boutique Hotel,10297-1,229.99,3066.0,7.0,Box,LEGO exclusive,58.2,48.0,12.4,3.471,18.0,0.0,16740,4830,14,172.6,149.43,2022,1,2025,12,-24.95325883734076,1.1550558790068928,Large,Exclusive,0.0,0.018696465063696266,0,0.0,,
67cdbf4341e4c15d5670770e,32127,10298,2022,Normal,Icons,Vehicles,Vespa 125,10298-1,99.99,1106.0,0.0,Box,LEGO exclusive,48.0,28.2,9.1,0.0,18.0,0.0,7733,1977,0,67.12,46.38,2022,1,2025,12,-32.873287328732864,1.4471755066839156,Large,Exclusive,0.0,-3.149314931493146,0,0.0,,
67cdbf4341e4c15d56707710,32129,10300,2022,Normal,Icons,Licensed,Back to the Future Time Machine,10300-1,199.99,1872.0,2.0,Box,LEGO exclusive,48.0,28.2,11.8,0.0,18.0,0.0,13062,4197,20,167.51,117.52,2022,1,2026,12,-16.240812040602037,1.4253744043567051,Large,Exclusive,0.0,3.503675183759185,0,0.0,,
67cdbf4341e4c15d56707711,32131,10302,2022,Normal,Icons,Licensed,Optimus Prime,10302-1,179.99,1508.0,0.0,Box,LEGO exclusive,28.2,48.0,9.1,1.702,18.0,0.0,10495,2461,10,131.85,125.8,2022,1,2026,12,-26.74593032946275,1.0480922098569156,Large,Exclusive,0.0,-0.698372131785101,0,0.0,,
67cdbf4341e4c15d56707714,32134,10305,2022,Normal,Icons,Castle System,Lion Knights' Castle,10305-1,399.99,4514.0,22.0,Box,LEGO exclusive,52.3,48.0,21.8,0.0,18.0,0.0,10238,6038,20,367.61,347.54,2022,3,2025,12,-8.0952023800595,1.0577487483455141,Large,Exclusive,0.0,6.7619190479762,0,0.0,,
67cdbf4341e4c15d56707716,32136,10307,2022,Normal,Icons,Landmarks,Eiffel Tower,10307-1,629.99,10001.0,0.0,Box,LEGO exclusive,58.5,47.5,38.5,0.0,18.0,0.0,3110,2721,9,493.25,341.33,2022,1,2026,12,-21.7051064302608,1.4450824715085109,Large,Exclusive,0.0,1.3179574278956796,0,0.0,,
67cdbf4341e4c15d56707718,32138,10309,2022,Normal,Icons,Botanical Collection,Succulents,10309-1,49.99,771.0,0.0,Box,Retail,38.0,26.0,5.3,0.683,18.0,0.0,12441,2476,13,39.9,24.51,2022,1,2026,12,-20.184036807361476,1.6279069767441858,Medium,Exclusive,0.0,1.9263852770554095,0,0.0,,
67cdbf4341e4c15d56707719,32140,10311,2022,Normal,Icons,Botanical Collection,Orchid,10311-1,49.99,608.0,0.0,Box,Retail,38.0,26.0,6.8,0.756,18.0,0.0,15521,2063,8,37.92,28.12,2022,1,2025,12,-24.14482896579316,1.3485064011379801,Medium,Exclusive,0.0,0.34206841368273544,0,0.0,,
67cdbf4341e4c15d5670771a,34386,10312,2023,Normal,Icons,Modular Buildings Collection,Jazz Club,10312-1,229.99,2899.0,8.0,Box,LEGO exclusive,57.8,47.6,12.0,3.884,18.0,0.0,11025,4636,18,188.63,177.91,2023,1,2026,12,-17.98339058219923,1.060255185206003,Large,Exclusive,0.0,2.806643767120307,0,0.0,,
67cdbf4341e4c15d5670771b,34444,10313,2023,Normal,Icons,Botanical Collection,Wildflower Bouquet,10313-1,59.99,939.0,0.0,Box,Retail,26.0,38.0,5.4,0.64,18.0,0.0,10253,2040,9,40.48,24.28,2023,1,2027,12,-32.522087014502425,1.6672158154859964,Medium,Exclusive,0.0,-3.008834805800971,0,0.0,,
